indexOfdf,Id,ColumnName,Orignal,Modified,ErrorType,Fixing
42853,69854693,Id,69854693,,Duplicate,dropped this record because of the duplicate data 
36913,46635529,Location,manchaster,manchester,Misspelling,changed manchaster to manchester
351,69082675,Location,cembridge,cambridge,Misspelling,changed cembridge to cambridge
17387,71091982,Location,livepool,liverpool,Misspelling,changed cembridge to cambridge
242,66012745,Location,oxfords,oxford,Misspelling,changed cembridge to cambridge
17073,71095014,Location,leads,leeds,Misspelling,changed cembridge to cambridge
16177,70645304,Company, ,non-specified,Inconsistency,replacing all inconsistant values
16252,70265300,Company, ,non-specified,Inconsistency,replacing all inconsistant values
16538,71094364,Company, ,non-specified,Inconsistency,replacing all inconsistant values
16716,70265387,Company, ,non-specified,Inconsistency,replacing all inconsistant values
16910,70474471,Company, ,non-specified,Inconsistency,replacing all inconsistant values
16966,71614781,Company, ,non-specified,Inconsistency,replacing all inconsistant values
17380,70265515,Company, ,non-specified,Inconsistency,replacing all inconsistant values
17778,70265383,Company, ,non-specified,Inconsistency,replacing all inconsistant values
18722,70265537,Company, ,non-specified,Inconsistency,replacing all inconsistant values
37886,66983663,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37887,65682026,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37888,64796679,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37889,68635495,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37890,63875206,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37891,64796477,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37892,64796914,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37893,65171657,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37894,65171223,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37895,65681986,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37896,65171575,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37897,67803399,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37898,65171379,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37899,66434603,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37900,68632470,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37901,65681961,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37902,64558891,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37903,67244632,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37904,69585649,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37905,66195517,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37906,68049678,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37907,66195482,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37908,68049573,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37909,65171595,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37910,67803005,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37911,65171413,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37912,66195260,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37913,68635584,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37914,65437031,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37915,62665224,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37916,65437034,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37917,65681919,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37918,69794058,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37919,66434691,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37920,68049714,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37921,65171319,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37922,67803714,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37923,64796773,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37924,65171282,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37925,65171454,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37926,69793993,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37927,67803574,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37928,63875386,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37929,65681982,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37930,65171536,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37931,68635076,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37932,65899893,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37933,69793996,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37934,65682009,Company,-,non-specified,Inconsistency,replacing all inconsistant values
